TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
372,0,545,351,1.6,0,545,351,0,0
375,0,545,352,1.6,0,545,352,0,0
378,0,545,352,1.6,0,545,352,0,0
381,0,545,353,1.6,0,545,353,0,0
384,0,545,354,1.6,0,545,354,0,0
387,0,545,355,1.6,0,545,355,0,0
390,0,545,356,1.6,0,545,356,0,0
393,0,545,356,1.6,0,545,356,0,0
396,0,545,357,1.6,0,545,357,0,0
399,0,545,358,1.6,0,545,358,0,0
402,0,545,359,1.6,0,545,359,0,0
405,0,545,360,1.6,0,545,360,0,0
408,0,545,360,1.6,0,545,360,0,0
411,0,545,361,1.6,0,545,361,0,0
414,0,545,362,1.6,0,545,362,0,0
417,0,545,363,1.6,0,545,363,0,0
420,0,545,364,1.6,0,545,364,0,0
423,0,545,364,1.6,0,545,364,0,0
426,0,545,365,1.6,0,545,365,0,0
429,0,545,366,1.6,0,545,366,0,0
432,0,545,367,1.6,0,545,367,0,0
435,0,545,368,1.6,0,545,368,0,0
438,0,545,368,1.6,0,545,368,0,0
441,0,545,369,1.6,0,545,369,0,0
444,0,545,370,1.6,0,545,370,0,0
447,0,545,371,1.6,0,545,371,0,0
450,0,545,372,1.6,0,545,372,0,0
453,0,545,372,1.6,0,545,372,0,0
456,0,545,373,1.6,0,545,373,0,0
459,0,544,374,1.6,0,544,374,0,0
462,0,544,375,1.6,0,544,375,0,0
465,0,544,376,1.6,0,544,376,0,0
468,0,544,376,1.6,0,544,376,0,0
471,0,544,377,1.6,0,544,377,0,0
474,0,544,378,1.6,0,544,378,0,0
477,0,544,379,1.6,0,544,379,0,0
480,0,544,380,1.6,0,544,380,0,0
483,0,544,380,1.6,0,544,380,0,0
486,0,544,381,1.6,0,544,381,0,0
489,0,544,382,1.6,0,544,382,0,0
492,0,544,383,1.6,0,544,383,0,0
495,0,544,384,1.6,0,544,384,0,0
498,0,544,384,1.6,0,544,384,0,0
501,0,544,385,1.6,0,544,385,0,0
504,0,544,386,1.6,0,544,386,0,0
507,0,544,387,1.6,0,544,387,0,0
510,0,544,388,1.6,0,544,388,0,0
513,0,544,388,1.6,0,544,388,0,0
516,0,544,389,1.6,0,544,389,0,0
519,0,544,390,1.6,0,544,390,0,0
522,0,544,391,1.6,0,544,391,0,0
525,0,544,392,1.6,0,544,392,0,0
528,0,544,392,1.6,0,544,392,0,0
531,0,544,393,1.6,0,544,393,0,0
534,0,544,394,1.6,0,544,394,0,0
537,0,544,395,1.6,0,544,395,0,0
540,0,544,396,1.6,0,544,396,0,0
543,0,544,396,1.6,0,544,396,0,0
546,0,544,397,1.6,0,544,397,0,0
549,0,544,398,1.6,0,544,398,0,0
552,0,544,399,5.0,0,544,399,0,0
555,0,544,399,5.0,0,544,399,0,0
558,0,544,399,5.0,0,544,399,0,0
561,0,544,399,5.0,0,544,399,0,0
564,0,544,399,5.0,0,544,399,0,0
567,0,544,399,5.0,0,544,399,0,0
570,0,544,398,5.0,0,544,398,0,0
573,0,544,397,5.0,0,544,397,0,0
576,0,544,396,5.0,0,544,396,0,0
579,0,545,396,5.0,0,545,396,0,0
