ObjectID,Frame,X,Y
2,2973,"[761.0, 698.5]","[591.0, 344.5]"
2,2974,"[761.0, 698.5]","[591.0, 344.5]"
2,2975,"[761.0, 698.5]","[591.0, 344.5]"
2,2976,"[761.0, 698.5]","[591.0, 344.5]"
2,2977,"[761.0, 698.5]","[591.0, 344.5]"
2,2978,"[761.0, 698.5]","[591.0, 344.5]"
2,2979,"[762.0, 698.5]","[591.0, 344.5]"
2,2980,"[762.0, 698.5]","[591.0, 344.5]"
2,2981,"[762.0, 698.5]","[590.0, 344.5]"
2,2982,"[762.0, 698.5]","[590.0, 343.5]"
2,2983,"[762.0, 698.5]","[590.0, 343.5]"
2,2984,"[762.0, 698.5]","[589.0, 343.5]"
2,2985,"[762.0, 698.5]","[589.0, 343.5]"
2,2986,"[763.0, 698.5]","[589.0, 343.5]"
2,2987,"[762.0, 698.5]","[589.0, 343.5]"
2,2988,"[762.0, 698.5]","[589.0, 343.5]"
2,2989,"[762.0, 698.5]","[589.0, 343.5]"
2,2990,"[763.0, 698.5]","[589.0, 343.5]"
2,2991,"[763.0, 698.5]","[589.0, 343.5]"
2,2992,"[763.0, 698.5]","[589.0, 342.5]"
2,2993,"[763.0, 698.5]","[588.0, 343.5]"
2,2994,"[761.0, 698.5]","[589.0, 342.5]"
2,2995,"[761.0, 697.5]","[589.0, 342.5]"
2,2996,"[760.0, 697.5]","[588.0, 342.5]"
2,2997,"[759.0, 698.5]","[588.0, 342.5]"
2,2998,"[759.0, 698.5]","[588.0, 342.5]"
2,2999,"[759.0, 697.5]","[587.0, 342.5]"
2,3000,"[759.0, 698.5]","[587.0, 341.5]"
2,3001,"[760.0, 697.5]","[587.0, 341.5]"
2,3002,"[760.0, 697.5]","[587.0, 341.5]"
2,3003,"[760.0, 697.5]","[587.0, 342.5]"
2,3004,"[760.0, 697.5]","[587.0, 341.5]"
2,3005,"[760.0, 697.5]","[587.0, 341.5]"
2,3006,"[760.0, 697.5]","[587.0, 341.5]"
2,3007,"[760.0, 697.5]","[587.0, 341.5]"
2,3008,"[760.0, 697.5]","[587.0, 341.5]"
2,3009,"[760.0, 697.5]","[586.0, 341.5]"
2,3010,"[760.0, 697.5]","[586.0, 341.5]"
2,3011,"[759.0, 697.5]","[586.0, 341.5]"
2,3012,"[759.0, 697.5]","[586.0, 341.5]"
2,3013,"[759.0, 697.5]","[586.0, 341.5]"
2,3014,"[759.0, 696.5]","[586.0, 341.5]"
2,3015,"[759.0, 697.5]","[585.0, 341.5]"
2,3016,"[759.0, 697.5]","[585.0, 340.5]"
2,3017,"[759.0, 697.5]","[585.0, 340.5]"
2,3018,"[759.0, 696.5]","[585.0, 341.5]"
2,3019,"[759.0, 696.5]","[585.0, 340.5]"
2,3020,"[759.0, 697.5]","[585.0, 340.5]"
2,3021,"[759.0, 697.5]","[585.0, 340.5]"
2,3022,"[759.0, 696.5]","[584.0, 340.5]"
2,3023,"[759.0, 697.5]","[584.0, 340.5]"
2,3024,"[759.0, 696.5]","[584.0, 340.5]"
2,3025,"[759.0, 696.5]","[584.0, 340.5]"
2,3026,"[759.0, 696.5]","[584.0, 340.5]"
2,3027,"[759.0, 696.5]","[584.0, 340.5]"
2,3028,"[759.0, 696.5]","[584.0, 340.5]"
2,3029,"[758.0, 696.5]","[584.0, 340.5]"
2,3030,"[758.0, 696.5]","[584.0, 340.5]"
2,3031,"[759.0, 696.5]","[584.0, 339.5]"
2,3032,"[758.0, 696.5]","[584.0, 339.5]"
2,3033,"[758.0, 696.5]","[584.0, 339.5]"
